model,rows,sha256,prediction_file,exists,link
Gemini-3.7-Flash,802,35c25a0f38d5f226f2d0dcf509ad3d558973815b422e41b5f1f780553ec59801,predictions/gemini_3_7_flash.jsonl,True,predictions/gemini_3_7_flash.jsonl
Gemini-3.5-Flash,875,a18c00bb31e4d9c17a6a7f1f4b275ae58267b33968bd8e8b74dbf482be4d7843,predictions/gemini_3_5_flash.jsonl,True,predictions/gemini_3_5_flash.jsonl
Gemini-3.1-Pro,875,4b47502a7e375c8acaf7f4fccf59984bf4114708942e816769cc84894cc65f1c,predictions/gemini_3_1_pro.jsonl,True,predictions/gemini_3_1_pro.jsonl
GPT-5.5 formal,875,1ef30575c921cacca35515b610a74040ef4853518454d82ee02c6b6b17de981d,predictions/gpt_5_5_formal.jsonl,True,predictions/gpt_5_5_formal.jsonl
GPT-5.5 1fps,1600,72893b87e9aec0d185a82927c39dd407e7d7d75cbbb2c667c948364c7a3264e1,predictions/gpt_5_5_1fps.jsonl,True,predictions/gpt_5_5_1fps.jsonl
GPT-5.5 2fps,1600,bc8ba34cf143010e4851197d5b1cad7e9d3205f123f2582456e89a2a3d5d1406,predictions/gpt_5_5_2fps.jsonl,True,predictions/gpt_5_5_2fps.jsonl
GPT-5.5 4fps,1600,9a91221bd5164e38af28d30b915fd84637123d0b6877c963e975b83deb20cddf,predictions/gpt_5_5_4fps.jsonl,True,predictions/gpt_5_5_4fps.jsonl
GPT-5.5 8fps,1600,276bf97046dc578ac663489669bdf1f45345361b09c2eef21ea6e850f01b96f9,predictions/gpt_5_5_8fps.jsonl,True,predictions/gpt_5_5_8fps.jsonl
GPT-5.2 formal,875,e894e5daab9cd732d5f0f92906e9a4f15782be6043af319d4f67867125bd593a,predictions/gpt_5_2_formal.jsonl,True,predictions/gpt_5_2_formal.jsonl
GPT-5.2 1fps,1600,cceaff900b10b13e093bf4a75e3184fb3cced00fa763ef30fbfc4238be2dda6e,predictions/gpt_5_2_1fps.jsonl,True,predictions/gpt_5_2_1fps.jsonl
GPT-5.2 2fps,1600,bae61b2aee8c43329802c5e9f80bfa1f267a4e81e67c3971962a7cd52e91662f,predictions/gpt_5_2_2fps.jsonl,True,predictions/gpt_5_2_2fps.jsonl
GPT-5.2 4fps,1600,2082e75411e70b04b651a84e395375fda4f0bd84adf3d220b6a6830fa4bd3422,predictions/gpt_5_2_4fps.jsonl,True,predictions/gpt_5_2_4fps.jsonl
GPT-5.2 8fps,1600,8a380ba068699d09dbc8d1c863c9ed7e9b101aa65e9fc4d5eb51f9b85ca06f7b,predictions/gpt_5_2_8fps.jsonl,True,predictions/gpt_5_2_8fps.jsonl
Claude-Opus-4.8,875,770ecde30a719ffc053808012ad1fbb61ebcc3f2efcb5bff033fe6ef950b44ac,predictions/claude_opus_4_8.jsonl,True,predictions/claude_opus_4_8.jsonl
Claude-Haiku-4.5,875,1e24fbf76d5251ebbc7c939fd92a0545c929d002681251728c49271a45186d5c,predictions/claude_haiku_4_5.jsonl,True,predictions/claude_haiku_4_5.jsonl
Qwen3.7-Max,874,2a95ee36412c3a50a68472cb8ed4344ec00d71fc62a702b362213f3f4648105d,predictions/qwen3_7_max.jsonl,True,predictions/qwen3_7_max.jsonl
Qwen3.7-Plus,874,e05ca092988116e8b86062bcb1051775794aeb9c2e998ed6b2a9deec331f94e1,predictions/qwen3_7_plus.jsonl,True,predictions/qwen3_7_plus.jsonl
Seed-2.1-Lite,875,f23e6fbb41e13edeed63bbe3467aa3186d93c57d7b4cccc631d49988f8881bcb,predictions/seed_2_1_lite.jsonl,True,predictions/seed_2_1_lite.jsonl
Seed-2.1-Lite 2fps,1600,d4aa2235a0b54b24ccc93f6559b589891eb74865a15ebe6032e7ac2c8aaf63c6,predictions/seed_2_1_lite_2fps.jsonl,True,predictions/seed_2_1_lite_2fps.jsonl
Seed-2.0-Pro,875,27c29e10f6a5cb75afe4d7d27c7273125f45d57ca42fdcb5dda99109ce7fd99f,predictions/seed_2_0_pro.jsonl,True,predictions/seed_2_0_pro.jsonl
Qwen3.5-27B formal,875,685ab1083d75cf50bb20ac97e7393216d871923d3eb13ee78b4ff7ed87a98b05,predictions/qwen3_5_27b_formal.jsonl,True,predictions/qwen3_5_27b_formal.jsonl
Qwen3.5-27B video formal,802,4bbfc0e6d670276be9b28bb294b5ce094173749183d073f3bc1ad1f95c220b36,predictions/qwen3_5_27b_video_formal.jsonl,True,predictions/qwen3_5_27b_video_formal.jsonl
Qwen3.5-27B 2fps,1600,6c8dc7dfe5b82cadbff6e4454aab1d4dce6d26a66aa09d7b71e24a88fd8db17c,predictions/qwen3_5_27b_2fps.jsonl,True,predictions/qwen3_5_27b_2fps.jsonl
Qwen3.5-27B 4fps,1600,53791b4f6b6942a833613dd9c70e40c235ff824442e83c71f257539895adab90,predictions/qwen3_5_27b_4fps.jsonl,True,predictions/qwen3_5_27b_4fps.jsonl
Qwen3.5-27B 8fps,1600,51ba4f9b6ba30b06caaef8599cd83e58d47756b30a468ef7c1d6025cd4ea433c,predictions/qwen3_5_27b_8fps.jsonl,True,predictions/qwen3_5_27b_8fps.jsonl
Qwen3.5-9B formal,875,b3298ced095a1e7c989db1fd40de4df326a749448eef0b99fd62ea6ca12e9cff,predictions/qwen3_5_9b_formal.jsonl,True,predictions/qwen3_5_9b_formal.jsonl
Qwen3.5-9B 2fps,1600,ef456ef7e8ffa502a069c774beaefba725e7ca631413ebefbb0d20d7f39496af,predictions/qwen3_5_9b_2fps.jsonl,True,predictions/qwen3_5_9b_2fps.jsonl
Qwen3.5-9B 4fps,1600,7af5706ddd9998c1e8712655e8c640fe1d2d5b3ef7932d550936f3915d4daecc,predictions/qwen3_5_9b_4fps.jsonl,True,predictions/qwen3_5_9b_4fps.jsonl
Qwen3.5-9B 8fps,1600,a172d2c534e2651455787b40a6e4d84c6083b9534db95319893d430eeff37cb7,predictions/qwen3_5_9b_8fps.jsonl,True,predictions/qwen3_5_9b_8fps.jsonl
Qwen3.5-9B reasoning 2fps,1600,db615c920f90210c13e2a12af6a9ba47f7b6d21a1ab095070501c891f15bf535,predictions/qwen3_5_9b_reasoning_2fps.jsonl,True,predictions/qwen3_5_9b_reasoning_2fps.jsonl
Qwen3.5-9B reasoning 4fps,1600,b3e8fd3195e05a7403cb7db37a3523236fa76f14899e909702cc79038aff6160,predictions/qwen3_5_9b_reasoning_4fps.jsonl,True,predictions/qwen3_5_9b_reasoning_4fps.jsonl
Qwen3.5-9B reasoning 8fps,1600,72baeed708c0f0749a49989210ce8c6858f578994e61fc86f6831d469cba7b57,predictions/qwen3_5_9b_reasoning_8fps.jsonl,True,predictions/qwen3_5_9b_reasoning_8fps.jsonl
Qwen3.5-9B SFT epoch1 4fps,1600,0e41eb3f4f00aefdfb733e910997e2fa7119eb9007e006e3125b5e838b7716d5,predictions/qwen3_5_9b_sft_epoch1_4fps.jsonl,True,predictions/qwen3_5_9b_sft_epoch1_4fps.jsonl
